Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2022-09-21,10.5,20.1,0.4,4.8,0.3,N,30.0,15:03,14.4,76,7.0, ,Calm,1014.8,17.4,70,7,NNW,15,1014.6
2022-09-22,8.0,19.3,0.2,1.6,8.8,SSE,28.0,12:11,15.2,80,1.0,SSW,9,1020.1,18.2,60,4,S,15,1016.9
2022-09-23,11.9,16.3,0.0,3.2,0.1,S,33.0,22:24,13.6,86,7.0,WSW,6,1016.9,12.4,94,8,SSW,24,1015.4
2022-09-24,6.2,15.1,2.2,1.4,7.2,SW,43.0,11:32,11.0,69,2.0,SSW,22,1017.0,12.8,59,5,SSW,24,1015.5
2022-09-25,3.2,18.5,0.0,3.0,10.6,N,31.0,21:55,11.8,59,6.0,NNE,17,1016.7,18.4,47,6,N,11,1015.1
2022-09-26,10.8,14.2,0.0,4.0,0.0,NNE,46.0,12:47,12.6,79,7.0,N,28,1016.0,11.0,89,7,NNE,19,1013.7
2022-09-27,9.8,14.5,1.4,1.0,0.0,SSE,37.0,19:43,12.2,87,7.0,SSW,11,1013.0,13.8,90,7,S,24,1011.4
2022-09-28,11.8,15.8,10.2,1.6,2.7,SSW,46.0,11:17,12.4,94,8.0,S,24,1019.2,13.8,72,7,S,31,1019.8
2022-09-29,9.0,15.2,0.0,2.2,3.4,S,37.0,13:18,12.3,70,7.0,S,20,1025.8,14.7,70,6,S,24,1025.3
2022-09-30,6.2,19.4,0.0,1.2,8.3,SSE,33.0,17:24,11.9,80,7.0,WNW,6,1029.3,18.3,55,6,SSW,11,1026.3
2022-10-1,6.1,18.4,0.0,3.0,10.0,SSE,24.0,14:15,11.2,79,6.0,NW,9,1026.2,18.1,52,2,S,13,1021.0
2022-10-2,5.1,18.3,0.0,6.4,11.2,SSE,37.0,12:26,10.9,83,1.0,SW,4,1021.2,16.8,53,1,S,24,1019.8
2022-10-3,5.1,21.3,0.0,3.8,6.8,S,28.0,15:21,9.4,83,7.0,NNW,6,1021.2,20.8,44,2,SSE,11,1018.0
2022-10-4,8.4,15.6,0.0,3.2,2.1,SSE,31.0,11:37,12.4,80,7.0,S,6,1023.8,13.5,70,7,SSE,24,1023.6
2022-10-5,7.7,14.4,0.0,2.6,0.0,ESE,31.0,19:20,10.3,83,8.0, ,Calm,1023.5,13.8,87,8,ESE,20,1020.8
2022-10-6,10.3,20.0,8.6,1.0,6.7,NNE,61.0,09:50,14.2,82,7.0,NNE,26,1017.4,18.5,71,7,NNE,37,1014.0
2022-10-7,14.1,20.8,15.8,4.8,4.1,NNE,48.0,05:19,16.1,86,8.0,N,28,1010.3,18.2,82,6,NE,7,1009.4
2022-10-8,6.5,15.9,21.2,2.4,9.7,SW,43.0,13:01,10.7,80,3.0,SW,19,1018.7,15.3,44,5,WSW,24,1019.4
2022-10-9,3.6,14.0,0.0,2.6,8.1,SSW,35.0,09:56,8.9,78,6.0,WSW,17,1025.1,12.9,51,5,SSE,15,1024.9
2022-10-10,3.2,18.0,0.0,4.4,11.8,S,28.0,16:08,10.0,69,2.0,N,13,1027.1,17.1,40,2,NW,9,1024.2
2022-10-11,6.2,20.9,0.0,3.8,4.8,N,52.0,10:02,12.4,69,6.0,NNE,15,1021.2,18.6,52,7,NNE,31,1017.6
2022-10-12,11.8,16.6,2.0,5.0,0.0,NNE,72.0,22:39,14.7,91,8.0,NNE,30,1015.9,15.4,89,8,NE,22,1014.0
2022-10-13,14.4,16.2,10.2,2.4,0.0,NNE,76.0,23:21,15.3,93,8.0,NNE,31,1010.1,15.3,87,8,NNE,39,1002.6
2022-10-14,8.4,17.9,22.8,0.6,7.1,WNW,61.0,12:02,13.4,69,6.0,N,22,1006.8,16.2,67,5,W,31,1009.5
2022-10-15,7.4,18.6,0.6,3.4,6.6,NW,30.0,05:48,13.1,63,7.0,NW,13,1019.6,17.7,41,7,WNW,15,1018.3
2022-10-16,10.2,17.4,1.0,3.6,8.9,SSW,41.0,13:11,12.4,84,7.0,W,13,1022.4,15.8,63,5,S,22,1021.7
